x-axis                	strain                
-1.9999999999999996   	37.36666666666666     
-1.9993499999999997   	40.56666666666667     
-1.9986999999999995   	38.96666666666667     
-1.9980499999999997   	35.65555555555555     
-1.9973999999999994   	36.788888888888884    
-1.9967499999999996   	36.77777777777778     
-1.9960999999999998   	36.36666666666667     
-1.9954499999999995   	35.08888888888889     
-1.9947999999999997   	38.87777777777778     
-1.9941499999999994   	35.577777777777776    
-1.9934999999999996   	34.32222222222222     
-1.9928499999999998   	36.1                  
-1.9921999999999995   	34.644444444444446    
-1.9915499999999997   	34.34444444444445     
-1.9908999999999994   	34.81111111111111     
-1.9902499999999996   	32.488888888888894    
-1.9895999999999998   	37.17777777777778     
-1.9889499999999996   	36.17777777777778     
-1.9882999999999997   	37.766666666666666    
-1.9876499999999995   	36.333333333333336    
-1.9869999999999997   	34.922222222222224    
-1.9863499999999994   	36.05555555555556     
-1.9856999999999996   	34.5                  
-1.9850499999999998   	33.6                  
-1.9843999999999995   	32.82222222222222     
-1.9837499999999997   	34.50000000000001     
-1.9830999999999994   	34.07777777777778     
-1.9824499999999996   	36.44444444444444     
-1.9817999999999998   	34.82222222222222     
-1.9811499999999995   	35.18888888888889     
-1.9804999999999997   	32.488888888888894    
-1.9798499999999994   	30.511111111111113    
-1.9791999999999996   	34.388888888888886    
-1.9785499999999998   	34.044444444444444    
-1.9778999999999995   	33.34444444444445     
-1.9772499999999997   	33.0                  
-1.9765999999999995   	35.37777777777777     
-1.9759499999999997   	32.43333333333333     
-1.9752999999999994   	34.71111111111111     
-1.9746499999999996   	33.43333333333333     
-1.9739999999999998   	33.67777777777778     
-1.9733499999999995   	30.677777777777774    
-1.9726999999999997   	34.388888888888886    
-1.9720499999999994   	33.65555555555556     
-1.9713999999999996   	32.36666666666666     
-1.9707499999999998   	30.67777777777778     
-1.9700999999999995   	31.45555555555556     
-1.9694499999999997   	30.122222222222224    
-1.9687999999999994   	29.188888888888883    
-1.9681499999999996   	29.177777777777774    
-1.9674999999999998   	29.577777777777783    
-1.9668499999999995   	28.5                  
-1.9661999999999997   	27.11111111111111     
-1.9655499999999995   	24.72222222222222     
-1.9648999999999996   	27.988888888888887    
-1.9642499999999998   	24.377777777777776    
-1.9635999999999996   	25.633333333333333    
-1.9629499999999998   	22.633333333333333    
-1.9622999999999995   	23.12222222222222     
-1.9616499999999997   	22.711111111111112    
-1.9609999999999994   	21.122222222222224    
-1.9603499999999996   	20.688888888888886    
-1.9596999999999998   	23.57777777777778     
-1.9590499999999995   	20.255555555555556    
-1.9583999999999997   	19.33333333333333     
-1.9577499999999994   	20.322222222222223    
-1.9570999999999996   	16.46666666666667     
-1.9564499999999998   	15.61111111111111     
-1.9557999999999995   	16.144444444444442    
-1.9551499999999997   	16.055555555555557    
-1.9544999999999995   	17.11111111111111     
-1.9538499999999996   	14.633333333333335    
-1.9531999999999998   	14.2                  
-1.9525499999999996   	15.366666666666665    
-1.9518999999999997   	13.344444444444443    
-1.9512499999999995   	14.355555555555554    
-1.9505999999999997   	10.6                  
-1.9499499999999994   	10.466666666666667    
-1.9492999999999996   	12.811111111111112    
-1.9486499999999998   	12.677777777777777    
-1.9479999999999995   	12.822222222222223    
-1.9473499999999997   	9.988888888888887     
-1.9466999999999994   	11.077777777777778    
-1.9460499999999996   	10.077777777777776    
-1.9453999999999998   	9.966666666666667     
-1.9447499999999995   	10.477777777777778    
-1.9440999999999997   	10.78888888888889     
-1.9434499999999995   	9.266666666666666     
-1.9427999999999996   	13.322222222222225    
-1.9421499999999998   	9.322222222222221     
-1.9414999999999996   	6.944444444444445     
-1.9408499999999997   	8.78888888888889      
-1.9401999999999995   	9.044444444444444     
-1.9395499999999997   	8.233333333333334     
-1.9388999999999994   	7.622222222222222     
-1.9382499999999996   	5.477777777777778     
-1.9375999999999998   	7.866666666666666     
-1.9369499999999995   	7.088888888888889     
-1.9362999999999997   	6.6000000000000005    
-1.9356499999999994   	7.833333333333332     
-1.9349999999999996   	6.722222222222222     
-1.9343499999999998   	8.933333333333334     
-1.9336999999999995   	2.7999999999999994    
-1.9330499999999997   	4.533333333333334     
-1.9323999999999995   	3.966666666666667     
-1.9317499999999996   	4.277777777777777     
-1.9310999999999998   	3.8444444444444446    
-1.9304499999999996   	7.388888888888889     
-1.9297999999999997   	7.355555555555556     
-1.9291499999999995   	6.655555555555555     
-1.9284999999999997   	2.577777777777778     
-1.9278499999999994   	4.111111111111111     
-1.9271999999999996   	4.51111111111111      
-1.9265499999999998   	3.5888888888888886    
-1.9258999999999995   	5.522222222222222     
-1.9252499999999997   	2.733333333333333     
-1.9245999999999994   	6.955555555555556     
-1.9239499999999996   	2.2222222222222223    
-1.9232999999999998   	6.722222222222221     
-1.9226499999999995   	2.6888888888888887    
-1.9219999999999997   	3.0999999999999996    
-1.9213499999999994   	4.677777777777777     
-1.9206999999999996   	4.388888888888889     
-1.9200499999999998   	5.71111111111111      
-1.9193999999999996   	5.633333333333334     
-1.9187499999999997   	-0.21111111111111105  
-1.9180999999999995   	1.4222222222222225    
-1.9174499999999997   	4.566666666666666     
-1.9167999999999994   	5.544444444444444     
-1.9161499999999996   	5.911111111111111     
-1.9154999999999998   	4.7333333333333325    
-1.9148499999999995   	4.055555555555555     
-1.9141999999999997   	1.2000000000000002    
-1.9135499999999994   	4.566666666666666     
-1.9128999999999996   	4.722222222222221     
-1.9122499999999998   	5.166666666666667     
-1.9115999999999995   	7.211111111111112     
-1.9109499999999997   	4.633333333333334     
-1.9102999999999994   	4.555555555555555     
